"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"8";"8";"12";"FÍSICA - NATAL - MT - BACHARELADO";"FÍSICA";"04A";"2730";"120";"156";"36";"25";"2011";"1";"2340";"156";"270";"";"";"";"";"60";"";"";
"24";"48";"60";"";"DOUTORADO EM SAÚDE COLETIVA";"DOUT";"420";"420";"28";"24";"12";"2011";"1";"0";"0";"0";"60";"48";"24";"";"1";"";"";
"10";"10";"12";"ENGENHARIA DE COMPUTAÇÃO - NATAL - MT - FORMAÇÃO";"ENGENHARIA DE COMPUTAÇÃO";"01";"3890";"300";"102";"32";"26";"2012";"1";"3180";"102";"410";"";"";"";"";"15";"0";"0";
"8";"8";"12";"GEOFÍSICA - NATAL - MT - BACHARELADO";"GEOFÍSICA";"02";"2910";"300";"148";"30";"26";"2014";"1";"2220";"148";"390";"";"";"";"";"120";"0";"0";
"9";"9";"13";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - N";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"01";"2700";"300";"124";"";"";"2017";"1";"1860";"124";"340";"";"";"";"";"300";"0";"200";
"10";"10";"14";"PEDAGOGIA - NATAL - N - LICENCIATURA";"PEDAGOGIA";"01";"3220";"180";"174";"24";"18";"2011";"2";"2610";"174";"430";"";"";"";"";"240";"0";"0";
"8";"8";"12";"PEDAGOGIA - NATAL - T - LICENCIATURA";"PEDAGOGIA";"01";"3220";"180";"174";"30";"26";"2011";"2";"2610";"174";"430";"";"";"";"";"240";"0";"0";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO";"PGGIC1";"360";"240";"24";"24";"16";"2015";"2";"120";"8";"0";"30";"24";"12";"";"0";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM QUÍMICA - PROFQUI";"PQUIM1";"1200";"0";"80";"24";"12";"2015";"2";"1200";"80";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"12";"AQUICULTURA - NATAL - MT - BACHARELADO";"AQUICULTURA";"01";"2820";"240";"138";"99";"98";"2002";"2";"2070";"138";"510";"";"";"";"";"0";"";"";
